Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,VALUBusy,VALUUtilization,SQ_WAVES,LDSBankConflict,MemUnitStalled,SQ_WAIT_INST_LDS,SQ_INSTS_VMEM_RD,SQ_INSTS_VALU,SQ_INSTS_LDS,DispatchNs,BeginNs,EndNs,CompleteNs
101134,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 2048u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101436,1059749,1059749,61440,256,0,0,72,0,48,64,0x0,0x708db844af40,24.5771001465,96.1753788414,960,0.0000000000,9.4245228456,0,25088,888000,0,37424048800779,37424048826701,37424048982861,37424064513742
101135,"void miso::kernels::q6k_gemv_kernel<2048u, 256, 1>(miso::kernels::Q6kGemvParams) [clone .kd]",1,1,101437,1059749,1059749,61440,256,0,0,60,0,32,64,0x0,0x708db844b040,9.5327956171,97.9885057471,960,0.0000000000,0.4130569872,0,6144,149312,0,37424048935218,37424048982861,37424049109102,37424064398585
101136,"void miso::kernels::attn_prep_kernel<256>(miso::kernels::AttnPrepParams) [clone .kd]",1,1,101438,1059749,1059749,4608,256,1536,0,28,0,64,64,0x0,0x708daf3b2400,0.4222774011,97.9857708255,72,0.0000000000,0.4583624913,88,170,4946,288,37424049076359,37424049109102,37424049238222,37424064275002
101137,"void miso::kernels::attn_split_kernel<256>(miso::kernels::AttnSplitParams) [clone .kd]",1,1,101439,1059749,1059749,4608,256,42496,0,96,0,32,64,0x0,0x708daf3b2440,3.0337560790,96.3814238567,72,0.5244588538,0.3221219241,4546,1136,74846,22744,37424049215149,37424049238222,37424049377743,37424064155514
101138,"void miso::kernels::attn_combine_kernel<256>(miso::kernels::AttnCombineParams) [clone .kd]",1,1,101440,1059749,1059749,4096,256,0,0,16,0,32,64,0x0,0x708daf3b2480,0.5154905259,99.4561464088,64,0.0000000000,0.2527271321,0,2368,9152,0,37424049344064,37424049377743,37424049505583,37424064037637
101139,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 4096u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101441,1059749,1059749,61440,256,0,0,112,0,48,64,0x0,0x708db844afc0,13.7192040811,97.3213026928,960,0.0000000000,1.1957564676,0,16384,451392,0,37424049477138,37424049505583,37424049653743,37424063919413
101140,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101442,1059749,1059749,512,512,512,0,28,0,32,64,0x0,0x708db8461680,0.0451575575,98.7695312500,8,0.0000000000,1.0765911217,19,96,616,24,37424049610381,37424049653743,37424049775184,37424063805503
101141,"void miso::kernels::moe_router_kernel<256>(miso::kernels::MoeRouterParams) [clone .kd]",1,1,101443,1059749,1059749,16640,256,0,0,36,0,32,64,0x0,0x708daf3e3580,1.7188421756,94.2115461618,260,0.0000000000,4.3292051822,0,3084,25709,0,37424049743525,37424049775184,37424049908144,37424063683669
101142,"void miso::kernels::moe_gate_up_kernel<256>(miso::kernels::MoeGateUpParams) [clone .kd]",1,1,101444,1059749,1059749,30720,256,512,0,64,0,48,64,0x0,0x708daf3e35c0,29.9797236373,83.4026335878,480,0.0000000000,2.2429527993,1132,23712,1256456,10593,37424049883291,37424049908144,37424050077265,37424063559786
101143,"void miso::kernels::moe_down_kernel<(miso::kernels::QType)1, 256>(miso::kernels::MoeDownParams) [clone .kd]",1,1,101445,1059749,1059749,30720,256,18944,0,108,0,32,64,0x0,0x708daf3e3640,26.7416652354,98.5095318421,480,6.5952939829,0.7425742574,303157,33456,1113176,21840,37424050011805,37424050077265,37424050204945,37424063439217
