Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,VALUBusy,VALUUtilization,SQ_WAVES,LDSBankConflict,MemUnitStalled,SQ_WAIT_INST_LDS,SQ_INSTS_VMEM_RD,SQ_INSTS_VALU,SQ_INSTS_LDS,DispatchNs,BeginNs,EndNs,CompleteNs
101132,"void miso::kernels::moe_down_kernel<(miso::kernels::QType)1, 256>(miso::kernels::MoeDownParams) [clone .kd]",1,1,101434,1553930,1553930,30720,256,9728,0,108,0,32,64,0x0,0x73c6a4de3640,27.6002321564,98.3627495665,480,1.2439261419,0.5899055172,2358,26976,1014536,9600,48298396998432,48298397061763,48298397228003,48298414903794
101133,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101435,1553930,1553930,512,512,512,0,28,0,32,64,0x0,0x73c6a508d680,0.0453302735,98.7695312500,8,0.0000000000,0.4503016691,16,96,616,24,48298397178556,48298397228003,48298397435523,48298414763676
101134,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 2048u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101436,1553930,1553930,61440,256,0,0,72,0,48,64,0x0,0x73c6a5072f40,24.5329589364,96.1717416090,960,0.0000000000,8.6212691046,0,25088,888000,0,48298397409132,48298397435523,48298397682402,48298414599135
101135,"void miso::kernels::q6k_gemv_kernel<2048u, 256, 1>(miso::kernels::Q6kGemvParams) [clone .kd]",1,1,101437,1553930,1553930,61440,256,0,0,60,0,32,64,0x0,0x73c6a5073040,9.4408440090,97.9885057471,960,0.0000000000,0.3916176749,0,6144,149312,0,48298397636656,48298397682402,48298397812002,48298414434239
101136,"void miso::kernels::attn_prep_kernel<256>(miso::kernels::AttnPrepParams) [clone .kd]",1,1,101438,1553930,1553930,4608,256,1536,0,28,0,64,64,0x0,0x73c6a5032400,0.3644931718,97.9857708255,72,0.0000000000,0.2069518003,99,170,4946,288,48298397786902,48298397812002,48298397980322,48298414314698
101137,"void miso::kernels::attn_split_kernel<256>(miso::kernels::AttnSplitParams) [clone .kd]",1,1,101439,1553930,1553930,4608,256,26112,0,96,0,48,64,0x0,0x73c6a5032440,3.0083295972,96.3820691819,72,0.5191250383,0.2390686309,5774,1136,74914,22744,48298397956850,48298397980322,48298398140801,48298414199875
101138,"void miso::kernels::attn_combine_kernel<256>(miso::kernels::AttnCombineParams) [clone .kd]",1,1,101440,1553930,1553930,4096,256,0,0,16,0,32,64,0x0,0x73c6a5032480,0.6395265384,99.4561464088,64,0.0000000000,0.1780742669,0,2368,9152,0,48298398107214,48298398140801,48298398262561,48298414083814
101139,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 4096u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101441,1553930,1553930,61440,256,0,0,112,0,48,64,0x0,0x73c6a5072fc0,14.6910032362,97.3213026928,960,0.0000000000,1.3852614569,0,16384,451392,0,48298398235214,48298398262561,48298398457601,48298413964221
101140,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101442,1553930,1553930,512,512,512,0,28,0,32,64,0x0,0x73c6a508d680,0.0430576299,98.7695312500,8,0.0000000000,0.3832925869,16,96,616,24,48298398408625,48298398457601,48298398556481,48298413854269
101141,"void miso::kernels::moe_router_kernel<256>(miso::kernels::MoeRouterParams) [clone .kd]",1,1,101443,1553930,1553930,16640,256,0,0,36,0,32,64,0x0,0x73c6a4de3580,1.7406802613,94.2115461618,260,0.0000000000,0.3251690879,0,3084,25709,0,48298398532321,48298398556481,48298398706081,48298413738692
101142,"void miso::kernels::moe_gate_up_kernel<256>(miso::kernels::MoeGateUpParams) [clone .kd]",1,1,101444,1553930,1553930,30720,256,512,0,64,0,48,64,0x0,0x73c6a4de35c0,29.4479812966,83.4049256315,480,0.0000000000,2.0241534513,601,23712,1256456,10593,48298398681101,48298398706081,48298398871840,48298413621728
101143,"void miso::kernels::moe_down_kernel<(miso::kernels::QType)1, 256>(miso::kernels::MoeDownParams) [clone .kd]",1,1,101445,1553930,1553930,30720,256,9728,0,108,0,32,64,0x0,0x73c6a4de3640,27.9381981332,98.3581319177,480,1.2590989573,0.6594506094,2307,26976,1014536,9600,48298398813648,48298398871840,48298398988000,48298413507060
101144,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101446,1553930,1553930,512,512,512,0,28,0,32,64,0x0,0x73c6a508d680,0.0433392925,98.7695312500,8,0.0000000000,0.3929391851,16,96,616,24,48298398942369,48298398988000,48298399105120,48298413396791
101145,"void miso::kernels::q6k_gemv_kernel<2048u, 256, 2>(miso::kernels::Q6kGemvParams) [clone .kd]",1,1,101447,1553930,1553930,122880,256,0,0,60,0,32,64,0x0,0x73c6a5073000,36.7994431952,97.7416042799,1920,0.0000000000,12.6122260889,0,48128,1430784,0,48298399076410,48298399105120,48298399297760,48298413288201
101146,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 2048u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101448,1553930,1553930,61440,256,0,0,72,0,48,64,0x0,0x73c6a5072f40,15.9378616208,96.7217529197,960,0.0000000000,4.1095422899,0,16000,496080,0,48298399251383,48298399297760,48298399413920,48298413177026
101147,"void miso::kernels::deltanet_step_kernel<256>(miso::kernels::DeltaNetStepParams) [clone .kd]",1,1,101449,1553930,1553930,8192,256,3072,0,184,0,64,64,0x0,0x73c6a5051400,3.3656428998,99.7167266187,128,0.0000000000,2.1471613603,923,9536,84096,7616,48298399377096,48298399413920,48298399556319,48298413063726
101148,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 4096u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101450,1553930,1553930,61440,256,0,0,112,0,48,64,0x0,0x73c6a5072fc0,13.1648976277,97.3213026928,960,0.0000000000,1.3075757302,0,16384,451392,0,48298399523781,48298399556319,48298399696799,48298412951636
101149,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101451,1553930,1553930,512,512,512,0,28,0,32,64,0x0,0x73c6a508d680,0.0443446689,98.7695312500,8,0.0000000000,0.3879007964,17,96,616,24,48298399653792,48298399696799,48298399807839,48298412834087
101150,"void miso::kernels::moe_router_kernel<256>(miso::kernels::MoeRouterParams) [clone .kd]",1,1,101452,1553930,1553930,16640,256,0,0,36,0,32,64,0x0,0x73c6a4de3580,1.5728012092,94.2115461618,260,0.0000000000,0.4629807139,0,3084,25709,0,48298399779546,48298399807839,48298399942559,48298412717158
101151,"void miso::kernels::moe_gate_up_kernel<256>(miso::kernels::MoeGateUpParams) [clone .kd]",1,1,101453,1553930,1553930,30720,256,512,0,64,0,48,64,0x0,0x73c6a4de35c0,29.4489035176,83.4098626861,480,0.0000000000,1.2269105968,1240,23712,1256456,10593,48298399916922,48298399942559,48298400112478,48298412606194
101152,"void miso::kernels::moe_down_kernel<(miso::kernels::QType)1, 256>(miso::kernels::MoeDownParams) [clone .kd]",1,1,101454,1553930,1553930,30720,256,9728,0,108,0,32,64,0x0,0x73c6a4de3640,27.9576702215,98.3638078387,480,1.2600492207,0.6481682565,2352,26976,1014536,9600,48298400054175,48298400112478,48298400231198,48298412489685
101153,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101455,1553930,1553930,512,512,512,0,28,0,32,64,0x0,0x73c6a508d680,0.0442050007,98.7695312500,8,0.0000000000,0.4870200461,19,96,616,24,48298400185137,48298400231198,48298400330558,48298412375912
101154,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 2048u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101456,1553930,1553930,61440,256,0,0,72,0,48,64,0x0,0x73c6a5072f40,30.6529834785,95.9963618961,960,0.0000000000,11.2466306327,0,32384,1202640,0,48298400307449,48298400330558,48298400498078,48298412263811
101155,"void miso::kernels::deltanet_step_kernel<256>(miso::kernels::DeltaNetStepParams) [clone .kd]",1,1,101457,1553930,1553930,8192,256,3072,0,184,0,64,64,0x0,0x73c6a5051400,3.4052196014,99.7167266187,128,0.0000000000,10.4684938162,1443,9536,84096,7616,48298400439551,48298400498078,48298400597918,48298412148717
101156,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 4096u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101458,1553930,1553930,61440,256,0,0,112,0,48,64,0x0,0x73c6a5072fc0,14.4304469451,97.3210883065,960,0.0000000000,2.8565861263,0,16384,451392,0,48298400563522,48298400597918,48298401072317,48298412033633
101157,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101459,1553930,1553930,512,512,512,0,28,0,32,64,0x0,0x73c6a508d680,0.0400460530,98.7695312500,8,0.0000000000,0.8773481445,14,96,616,24,48298401026602,48298401072317,48298403146554,48298411886034
101158,"void miso::kernels::moe_router_kernel<256>(miso::kernels::MoeRouterParams) [clone .kd]",1,1,101460,1553930,1553930,16640,256,0,0,36,0,32,64,0x0,0x73c6a4de3580,1.5188531712,94.2115461618,260,0.0000000000,6.0533159948,0,3084,25709,0,48298403124105,48298403146554,48298403363833,48298411774808
101159,"void miso::kernels::moe_gate_up_kernel<256>(miso::kernels::MoeGateUpParams) [clone .kd]",1,1,101461,1553930,1553930,30720,256,512,0,64,0,48,64,0x0,0x73c6a4de35c0,29.0819212803,83.4178771530,480,0.0000000000,1.5987205296,704,23712,1256456,10593,48298403334287,48298403363833,48298403528793,48298411665673
101160,"void miso::kernels::moe_down_kernel<(miso::kernels::QType)0, 256>(miso::kernels::MoeDownParams) [clone .kd]",1,1,101462,1553930,1553930,30720,256,9728,0,84,0,32,64,0x0,0x73c6a4de3600,19.4869530077,96.6134762541,480,3.9903013509,1.0411844384,977,14688,667240,9600,48298403470300,48298403528793,48298403639353,48298411558297
101161,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101463,1553930,1553930,512,512,512,0,28,0,32,64,0x0,0x73c6a508d680,0.0427247724,98.7695312500,8,0.0000000000,0.9866682925,16,96,616,24,48298403595114,48298403639353,48298403742393,48298411449260
