ts,edge_c,junction_c,mem_c,sclk,mclk,power_w
1790422822,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422824,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422825,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422827,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422828,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422830,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422831,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422833,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422834,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422835,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422837,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422838,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422840,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422841,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422843,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422844,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422846,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422847,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422848,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422850,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422851,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422853,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422854,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422856,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422857,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422859,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422860,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422862,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422863,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422864,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422866,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422867,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422869,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422870,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422872,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422873,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422875,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422876,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422878,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422879,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422880,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422882,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422883,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422885,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422886,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422888,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422889,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422891,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422892,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422893,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422895,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422896,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422898,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422899,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422901,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422902,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422904,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422905,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422906,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422908,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422909,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422911,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422912,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422914,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422915,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422917,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422918,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422920,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422921,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422922,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422924,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422925,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422927,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422928,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422930,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422931,35.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422933,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422934,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422935,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422937,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422938,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422940,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422941,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422943,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422944,34.0,35.0,39.0,930Mhz,350Mhz,16.0
1790422946,34.0,35.0,39.0,930Mhz,350Mhz,16.0
